Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,B365>2.5,B365<2.5,Avg>2.5,Avg<2.5
ES1,21/09/2024,Valladolid,Sociedad,0,0,D,2.63,1.5,2.57,1.52
ES1,21/09/2024,Osasuna,Las Palmas,2,1,H,2.2,1.67,2.21,1.69
ES1,21/09/2024,Valencia,Girona,2,0,H,2.07,1.83,2.03,1.81
ES1,21/09/2024,Real Madrid,Espanol,4,1,H,1.4,3,1.4,2.94
ES1,22/09/2024,Getafe,Leganes,1,1,D,3.4,1.33,3.24,1.34
ES1,22/09/2024,Ath Bilbao,Celta,3,1,H,1.73,2.1,1.76,2.09
ES1,22/09/2024,Villarreal,Barcelona,1,5,A,1.4,3,1.4,2.94
ES1,22/09/2024,Vallecano,Ath Madrid,1,1,D,2.2,1.67,2.22,1.68
ES1,23/09/2024,Betis,Mallorca,1,2,A,2.5,1.53,2.51,1.53
ES1,24/09/2024,Sevilla,Valladolid,2,1,H,2.04,1.86,2,1.84
ES1,24/09/2024,Valencia,Osasuna,0,0,D,2.63,1.5,2.63,1.5
ES1,24/09/2024,Real Madrid,Alaves,3,2,H,1.5,2.63,1.48,2.63
ES1,25/09/2024,Girona,Vallecano,0,0,D,1.99,1.91,1.95,1.88
ES1,25/09/2024,Barcelona,Getafe,1,0,H,1.57,2.38,1.59,2.41
ES1,26/09/2024,Espanol,Villarreal,1,2,A,1.86,2.04,1.84,2
ES1,26/09/2024,Las Palmas,Betis,1,1,D,2.2,1.67,2.18,1.69
ES1,26/09/2024,Celta,Ath Madrid,0,1,A,1.73,2.1,1.73,2.14
ES1,27/09/2024,Valladolid,Mallorca,1,2,A,3,1.4,2.9,1.41
ES1,28/09/2024,Getafe,Alaves,2,0,H,3.2,1.36,3.09,1.36
ES1,28/09/2024,Vallecano,Leganes,1,1,D,3,1.4,2.84,1.42
ES1,28/09/2024,Sociedad,Valencia,3,0,H,2.63,1.5,2.68,1.48
ES1,28/09/2024,Osasuna,Barcelona,4,2,H,1.53,2.5,1.53,2.5
ES1,29/09/2024,Celta,Girona,1,1,D,1.67,2.2,1.67,2.25
ES1,29/09/2024,Ath Bilbao,Sevilla,1,1,D,2.04,1.86,2,1.84
ES1,29/09/2024,Betis,Espanol,1,0,H,2,1.8,2.07,1.78
ES1,29/09/2024,Ath Madrid,Real Madrid,1,1,D,1.8,2,1.79,2.06
ES1,30/09/2024,Villarreal,Las Palmas,3,1,H,1.53,2.5,1.54,2.46
ES1,04/10/2024,Leganes,Valencia,0,0,D,3.2,1.36,3.01,1.39
ES1,05/10/2024,Espanol,Mallorca,2,1,H,2.75,1.44,2.71,1.46
ES1,05/10/2024,Getafe,Osasuna,1,1,D,3.2,1.36,3.03,1.38
ES1,05/10/2024,Las Palmas,Celta,0,1,A,1.73,2.1,1.76,2.1
ES1,05/10/2024,Valladolid,Vallecano,1,2,A,2.63,1.5,2.58,1.51
ES1,05/10/2024,Real Madrid,Villarreal,2,0,H,1.33,3.4,1.31,3.42
ES1,06/10/2024,Girona,Ath Bilbao,2,1,H,2.04,1.86,2.01,1.83
ES1,06/10/2024,Alaves,Barcelona,0,3,A,1.62,2.3,1.64,2.29
ES1,06/10/2024,Sevilla,Betis,1,0,H,2.1,1.73,2.16,1.71
ES1,06/10/2024,Sociedad,Ath Madrid,1,1,D,2.38,1.57,2.42,1.57
ES1,18/10/2024,Alaves,Valladolid,2,3,A,2.1,1.73,2.15,1.72
ES1,19/10/2024,Ath Bilbao,Espanol,4,1,H,1.95,1.95,1.93,1.9
ES1,19/10/2024,Osasuna,Betis,1,2,A,2.1,1.73,2.14,1.73
ES1,19/10/2024,Girona,Sociedad,0,1,A,2.2,1.67,2.23,1.67
ES1,19/10/2024,Celta,Real Madrid,1,2,A,1.62,2.3,1.62,2.33
ES1,20/10/2024,Mallorca,Vallecano,1,0,H,2.75,1.44,2.79,1.44
ES1,20/10/2024,Ath Madrid,Leganes,3,1,H,2.02,1.88,1.99,1.84
ES1,20/10/2024,Villarreal,Getafe,1,1,D,2,1.8,2.04,1.79
ES1,20/10/2024,Barcelona,Sevilla,5,1,H,1.44,2.75,1.43,2.72
ES1,21/10/2024,Valencia,Las Palmas,2,3,A,2.2,1.67,2.28,1.64
ES1,25/10/2024,Espanol,Sevilla,0,2,A,2.3,1.62,2.26,1.66
ES1,26/10/2024,Valladolid,Villarreal,1,2,A,1.73,2.1,1.72,2.16
ES1,26/10/2024,Vallecano,Alaves,1,0,H,2.5,1.53,2.49,1.55
ES1,26/10/2024,Las Palmas,Girona,1,0,H,2,1.9,1.96,1.87
ES1,26/10/2024,Real Madrid,Barcelona,0,4,A,1.4,3,1.41,2.92
ES1,27/10/2024,Leganes,Celta,3,0,H,2.3,1.62,2.34,1.61
ES1,27/10/2024,Getafe,Valencia,1,1,D,3.2,1.36,3.07,1.37
ES1,27/10/2024,Betis,Ath Madrid,1,0,H,2.2,1.67,2.26,1.64
ES1,27/10/2024,Sociedad,Osasuna,0,2,A,2.2,1.67,2.25,1.66
ES1,28/10/2024,Mallorca,Ath Bilbao,0,0,D,2.63,1.5,2.57,1.52
ES1,01/11/2024,Alaves,Mallorca,1,0,H,2.63,1.5,2.65,1.47
ES1,02/11/2024,Osasuna,Valladolid,1,0,H,2.1,1.73,2.15,1.73
ES1,02/11/2024,Girona,Leganes,4,3,H,2.2,1.67,2.23,1.67
ES1,03/11/2024,Ath Madrid,Las Palmas,2,0,H,1.62,2.3,1.63,2.27
ES1,03/11/2024,Barcelona,Espanol,3,1,H,1.2,4.5,1.19,4.44
ES1,03/11/2024,Sevilla,Sociedad,0,2,A,2.5,1.53,2.48,1.53
ES1,03/11/2024,Ath Bilbao,Betis,1,1,D,2.1,1.73,2.11,1.75
ES1,04/11/2024,Celta,Getafe,1,0,H,2.5,1.53,2.46,1.55
ES1,08/11/2024,Vallecano,Las Palmas,1,3,A,2.2,1.67,2.26,1.66
ES1,09/11/2024,Real Madrid,Osasuna,4,0,H,1.48,2.6,1.46,2.68
ES1,09/11/2024,Villarreal,Alaves,3,0,H,1.73,2.1,1.73,2.12
ES1,09/11/2024,Leganes,Sevilla,1,0,H,2.4,1.53,2.51,1.54
ES1,10/11/2024,Betis,Celta,2,2,D,1.87,2.03,1.84,1.99
ES1,10/11/2024,Mallorca,Ath Madrid,0,1,A,2.63,1.5,2.64,1.47
ES1,10/11/2024,Getafe,Girona,0,1,A,2.63,1.5,2.62,1.5
ES1,10/11/2024,Valladolid,Ath Bilbao,1,1,D,2.2,1.67,2.22,1.68
ES1,10/11/2024,Sociedad,Barcelona,1,0,H,1.62,2.3,1.62,2.31
ES1,22/11/2024,Getafe,Valladolid,2,0,H,2.75,1.44,2.75,1.45
ES1,23/11/2024,Valencia,Betis,4,2,H,2.5,1.53,2.48,1.55
ES1,23/11/2024,Ath Madrid,Alaves,2,1,H,2.03,1.87,2,1.84
ES1,23/11/2024,Girona,Espanol,4,1,H,1.95,1.95,1.93,1.9
ES1,23/11/2024,Las Palmas,Mallorca,2,3,A,2.63,1.5,2.58,1.52
ES1,23/11/2024,Celta,Barcelona,2,2,D,1.44,2.75,1.46,2.71
ES1,24/11/2024,Osasuna,Villarreal,2,2,D,1.8,2,1.81,2.02
ES1,24/11/2024,Sevilla,Vallecano,1,0,H,2.38,1.57,2.39,1.59
ES1,24/11/2024,Leganes,Real Madrid,0,3,A,1.86,2.04,1.83,2
ES1,24/11/2024,Ath Bilbao,Sociedad,1,0,H,2.63,1.5,2.55,1.52
ES1,29/11/2024,Mallorca,Valencia,2,1,H,3.2,1.36,3.03,1.38
ES1,30/11/2024,Barcelona,Las Palmas,1,2,A,1.22,4.33,1.23,4.09
ES1,30/11/2024,Alaves,Leganes,1,1,D,2.75,1.44,2.73,1.46
ES1,30/11/2024,Espanol,Celta,3,1,H,2.05,1.85,2.02,1.82
ES1,30/11/2024,Valladolid,Ath Madrid,0,5,A,2.06,1.84,2.03,1.81
ES1,01/12/2024,Villarreal,Girona,2,2,D,1.67,2.2,1.66,2.21
ES1,01/12/2024,Real Madrid,Getafe,2,0,H,2.03,1.87,1.99,1.84
ES1,01/12/2024,Vallecano,Ath Bilbao,1,2,A,2.38,1.57,2.42,1.57
ES1,01/12/2024,Sociedad,Betis,2,0,H,2.2,1.67,2.23,1.67
ES1,02/12/2024,Sevilla,Osasuna,1,1,D,2.1,1.73,2.16,1.71
ES1,03/12/2024,Mallorca,Barcelona,1,5,A,1.73,2.1,1.72,2.14
ES1,04/12/2024,Ath Bilbao,Real Madrid,2,1,H,1.86,2.04,1.84,2
ES1,06/12/2024,Celta,Mallorca,2,0,H,2.38,1.57,2.41,1.59
ES1,07/12/2024,Las Palmas,Valladolid,2,1,H,2.07,1.83,2.02,1.82
ES1,07/12/2024,Betis,Barcelona,2,2,D,1.5,2.63,1.5,2.6
ES1,07/12/2024,Valencia,Vallecano,0,1,A,2.75,1.44,2.75,1.46
ES1,07/12/2024,Girona,Real Madrid,0,3,A,1.62,2.3,1.62,2.31
ES1,08/12/2024,Leganes,Sociedad,0,3,A,2.75,1.44,2.78,1.45
ES1,08/12/2024,Ath Bilbao,Villarreal,2,0,H,1.84,2.06,1.82,2.01
ES1,08/12/2024,Osasuna,Alaves,2,2,D,2.3,1.62,2.32,1.62
ES1,08/12/2024,Ath Madrid,Sevilla,4,3,H,1.85,2.05,1.82,2.01
ES1,09/12/2024,Getafe,Espanol,1,0,H,3,1.4,2.93,1.41
ES1,13/12/2024,Valladolid,Valencia,1,0,H,2.5,1.53,2.54,1.52
ES1,14/12/2024,Espanol,Osasuna,0,0,D,2.3,1.62,2.29,1.63
ES1,14/12/2024,Mallorca,Girona,2,1,H,2.38,1.57,2.42,1.57
ES1,14/12/2024,Sevilla,Celta,1,0,H,2.04,1.86,2.01,1.83
ES1,14/12/2024,Vallecano,Real Madrid,3,3,D,1.89,2.01,1.84,1.99
ES1,15/12/2024,Ath Madrid,Getafe,1,0,H,2.3,1.62,2.29,1.62
ES1,15/12/2024,Alaves,Ath Bilbao,1,1,D,2.5,1.53,2.47,1.54
ES1,15/12/2024,Sociedad,Las Palmas,0,0,D,2.1,1.73,2.15,1.71
ES1,15/12/2024,Villarreal,Betis,1,2,A,1.67,2.2,1.66,2.23
ES1,15/12/2024,Barcelona,Leganes,0,1,A,1.33,3.4,1.31,3.33
ES1,18/12/2024,Espanol,Valencia,1,1,D,2.63,1.5,2.57,1.5
ES1,18/12/2024,Villarreal,Vallecano,1,1,D,1.9,2,1.86,1.97
ES1,20/12/2024,Girona,Valladolid,3,0,H,1.73,2.1,1.77,2.06
ES1,21/12/2024,Getafe,Mallorca,0,1,A,3.75,1.29,3.46,1.3
ES1,21/12/2024,Celta,Sociedad,2,0,H,2.38,1.57,2.37,1.59
ES1,21/12/2024,Osasuna,Ath Bilbao,1,2,A,2.38,1.57,2.33,1.6
ES1,21/12/2024,Barcelona,Ath Madrid,1,2,A,1.57,2.38,1.58,2.38
ES1,22/12/2024,Valencia,Alaves,2,2,D,2.63,1.5,2.63,1.48
ES1,22/12/2024,Real Madrid,Sevilla,4,2,H,1.53,2.5,1.51,2.52
ES1,22/12/2024,Las Palmas,Espanol,1,0,H,2.1,1.73,2.09,1.74
ES1,22/12/2024,Leganes,Villarreal,2,5,A,2.03,1.87,1.99,1.83
ES1,22/12/2024,Betis,Vallecano,1,1,D,2.2,1.67,2.22,1.67
ES1,03/01/2025,Valencia,Real Madrid,1,2,A,1.67,2.2,1.65,2.23
ES1,10/01/2025,Vallecano,Celta,2,1,H,2.2,1.67,2.22,1.66
ES1,11/01/2025,Alaves,Girona,0,1,A,2.2,1.67,2.18,1.68
ES1,11/01/2025,Valladolid,Betis,1,0,H,2.1,1.73,2.12,1.72
ES1,11/01/2025,Espanol,Leganes,1,1,D,2.75,1.44,2.76,1.44
ES1,11/01/2025,Sevilla,Valencia,1,1,D,2.3,1.62,2.28,1.63
ES1,12/01/2025,Las Palmas,Getafe,1,2,A,2.75,1.44,2.67,1.46
ES1,12/01/2025,Ath Madrid,Osasuna,1,0,H,1.8,2,1.78,2.04
ES1,13/01/2025,Sociedad,Villarreal,1,0,H,2.05,1.85,2.02,1.8
ES1,17/01/2025,Espanol,Valladolid,2,1,H,2.3,1.62,2.32,1.62
ES1,18/01/2025,Girona,Sevilla,1,2,A,2.01,1.89,1.96,1.85
ES1,18/01/2025,Leganes,Ath Madrid,1,0,H,2.1,1.73,2.09,1.74
ES1,18/01/2025,Betis,Alaves,1,3,A,2.1,1.73,2.13,1.72
ES1,18/01/2025,Getafe,Barcelona,1,1,D,1.73,2.1,1.76,2.06
ES1,19/01/2025,Celta,Ath Bilbao,1,2,A,2.3,1.62,2.31,1.61
ES1,19/01/2025,Real Madrid,Las Palmas,4,1,H,1.33,3.4,1.3,3.39
ES1,19/01/2025,Osasuna,Vallecano,1,1,D,2.5,1.53,2.5,1.53
ES1,19/01/2025,Valencia,Sociedad,1,0,H,2.75,1.44,2.82,1.41
ES1,20/01/2025,Villarreal,Mallorca,4,0,H,2,1.8,2.04,1.77
ES1,24/01/2025,Las Palmas,Osasuna,1,1,D,2.2,1.67,2.19,1.68
ES1,25/01/2025,Mallorca,Betis,0,1,A,2.5,1.53,2.53,1.52
ES1,25/01/2025,Ath Madrid,Villarreal,1,1,D,1.62,2.3,1.63,2.28
ES1,25/01/2025,Sevilla,Espanol,1,1,D,2.2,1.67,2.16,1.7
ES1,25/01/2025,Valladolid,Real Madrid,0,3,A,1.44,2.75,1.43,2.77
ES1,26/01/2025,Vallecano,Girona,2,1,H,2.2,1.67,2.2,1.68
ES1,26/01/2025,Sociedad,Getafe,0,3,A,3.2,1.36,3.06,1.37
ES1,26/01/2025,Ath Bilbao,Leganes,0,0,D,2,1.8,2.05,1.77
ES1,26/01/2025,Barcelona,Valencia,7,1,H,1.4,3,1.39,2.91
ES1,27/01/2025,Alaves,Celta,1,1,D,2.2,1.67,2.2,1.67
ES1,31/01/2025,Leganes,Vallecano,0,1,A,2.5,1.53,2.51,1.53
ES1,01/02/2025,Getafe,Sevilla,0,0,D,3,1.4,2.81,1.42
ES1,01/02/2025,Villarreal,Valladolid,5,1,H,1.44,2.75,1.45,2.69
ES1,01/02/2025,Ath Madrid,Mallorca,2,0,H,2.2,1.67,2.22,1.66
ES1,01/02/2025,Espanol,Real Madrid,1,0,H,1.57,2.38,1.59,2.36
ES1,02/02/2025,Barcelona,Alaves,1,0,H,1.36,3.2,1.35,3.1
ES1,02/02/2025,Valencia,Celta,2,1,H,2.3,1.62,2.28,1.63
ES1,02/02/2025,Osasuna,Sociedad,2,1,H,2.75,1.44,2.65,1.46
ES1,02/02/2025,Betis,Ath Bilbao,2,2,D,2.2,1.67,2.22,1.66
ES1,03/02/2025,Girona,Las Palmas,2,1,H,1.84,2.06,1.81,2.01
ES1,07/02/2025,Vallecano,Valladolid,1,0,H,2,1.8,2.05,1.79
ES1,08/02/2025,Celta,Betis,3,2,H,2.1,1.73,2.1,1.75
ES1,08/02/2025,Ath Bilbao,Girona,3,0,H,2.1,1.73,2.09,1.76
ES1,08/02/2025,Las Palmas,Villarreal,1,2,A,1.62,2.3,1.64,2.28
ES1,08/02/2025,Real Madrid,Ath Madrid,1,1,D,1.8,2,1.79,2.04
ES1,09/02/2025,Alaves,Getafe,0,1,A,3.2,1.36,3.04,1.37
ES1,09/02/2025,Valencia,Leganes,2,0,H,2.5,1.53,2.53,1.52
ES1,09/02/2025,Sociedad,Espanol,2,1,H,2.2,1.67,2.25,1.65
ES1,09/02/2025,Sevilla,Barcelona,1,4,A,1.44,2.75,1.45,2.69
ES1,10/02/2025,Mallorca,Osasuna,1,1,D,2.75,1.44,2.76,1.44
ES1,14/02/2025,Girona,Getafe,1,2,A,2.63,1.5,2.61,1.51
ES1,15/02/2025,Leganes,Alaves,3,3,D,2.7,1.41,2.78,1.44
ES1,15/02/2025,Osasuna,Real Madrid,1,1,D,1.57,2.25,1.62,2.31
ES1,15/02/2025,Ath Madrid,Celta,1,1,D,1.78,2,1.82,2.02
ES1,15/02/2025,Villarreal,Valencia,1,1,D,1.73,2.1,1.7,2.18
ES1,16/02/2025,Espanol,Ath Bilbao,1,1,D,2.3,1.62,2.35,1.61
ES1,16/02/2025,Valladolid,Sevilla,0,4,A,2.2,1.67,2.19,1.69
ES1,16/02/2025,Mallorca,Las Palmas,3,1,H,2.38,1.57,2.43,1.57
ES1,16/02/2025,Betis,Sociedad,3,0,H,2.38,1.57,2.41,1.58
ES1,17/02/2025,Barcelona,Vallecano,1,0,H,1.33,3.4,1.31,3.43
ES1,21/02/2025,Celta,Osasuna,1,0,H,1.99,1.91,1.96,1.89
ES1,22/02/2025,Alaves,Espanol,0,1,A,2.63,1.5,2.62,1.5
ES1,22/02/2025,Vallecano,Villarreal,0,1,A,1.8,2,1.79,2.04
ES1,22/02/2025,Valencia,Ath Madrid,0,3,A,2.2,1.67,2.22,1.68
ES1,22/02/2025,Las Palmas,Barcelona,0,2,A,1.3,3.5,1.3,3.5
ES1,23/02/2025,Ath Bilbao,Valladolid,7,1,H,1.62,2.3,1.63,2.3
ES1,23/02/2025,Real Madrid,Girona,2,0,H,1.4,3,1.38,2.97
ES1,23/02/2025,Getafe,Betis,1,2,A,2.63,1.5,2.63,1.49
ES1,23/02/2025,Sociedad,Leganes,3,0,H,2.5,1.53,2.45,1.56
ES1,24/02/2025,Sevilla,Mallorca,1,1,D,2.63,1.5,2.57,1.51
ES1,28/02/2025,Valladolid,Las Palmas,1,1,D,2.2,1.67,2.22,1.68
ES1,01/03/2025,Girona,Celta,2,2,D,1.88,2.02,1.85,1.99
ES1,01/03/2025,Vallecano,Sevilla,1,1,D,2.2,1.67,2.23,1.67
ES1,01/03/2025,Betis,Real Madrid,2,1,H,1.53,2.5,1.52,2.52
ES1,01/03/2025,Ath Madrid,Ath Bilbao,1,0,H,2.2,1.67,2.17,1.7
ES1,02/03/2025,Leganes,Getafe,1,0,H,3.4,1.33,3.21,1.34
ES1,02/03/2025,Barcelona,Sociedad,4,0,H,1.57,2.38,1.56,2.42
ES1,02/03/2025,Mallorca,Alaves,1,1,D,3,1.4,2.87,1.41
ES1,02/03/2025,Osasuna,Valencia,3,3,D,2.3,1.62,2.37,1.6
ES1,08/03/2025,Celta,Leganes,2,1,H,2,1.8,2.04,1.8
ES1,08/03/2025,Alaves,Villarreal,1,0,H,2,1.8,2.05,1.79
ES1,08/03/2025,Valencia,Valladolid,2,1,H,2.1,1.73,2.12,1.73
ES1,09/03/2025,Getafe,Ath Madrid,2,1,H,2.7,1.41,2.72,1.45
ES1,09/03/2025,Real Madrid,Vallecano,2,1,H,1.53,2.32,1.54,2.47
ES1,09/03/2025,Ath Bilbao,Mallorca,1,1,D,2.2,1.67,2.18,1.69
ES1,09/03/2025,Betis,Las Palmas,1,0,H,1.68,2.05,1.73,2.13
ES1,09/03/2025,Sociedad,Sevilla,0,1,A,2.38,1.57,2.4,1.58
ES1,10/03/2025,Espanol,Girona,1,1,D,2.2,1.67,2.21,1.67
ES1,14/03/2025,Las Palmas,Alaves,2,2,D,2.5,1.53,2.45,1.54
ES1,15/03/2025,Valladolid,Celta,0,1,A,1.99,1.91,1.93,1.89
ES1,15/03/2025,Mallorca,Espanol,2,1,H,2.5,1.53,2.54,1.53
ES1,15/03/2025,Villarreal,Real Madrid,1,2,A,1.5,2.63,1.47,2.66
ES1,15/03/2025,Girona,Valencia,1,1,D,2,1.8,2.05,1.78
ES1,16/03/2025,Leganes,Betis,2,3,A,2.2,1.67,2.22,1.67
ES1,16/03/2025,Sevilla,Ath Bilbao,0,1,A,2.3,1.62,2.35,1.6
ES1,16/03/2025,Osasuna,Getafe,1,2,A,3.2,1.36,3.02,1.38
ES1,16/03/2025,Vallecano,Sociedad,2,2,D,2.63,1.5,2.67,1.47
ES1,16/03/2025,Ath Madrid,Barcelona,2,4,A,1.57,2.38,1.57,2.4
ES1,27/03/2025,Barcelona,Osasuna,3,0,H,1.33,3.4,1.33,3.25
ES1,29/03/2025,Sociedad,Valladolid,2,1,H,2,1.8,2.05,1.78
ES1,29/03/2025,Espanol,Ath Madrid,1,1,D,2.2,1.67,2.19,1.68
ES1,29/03/2025,Alaves,Vallecano,0,2,A,2.75,1.44,2.73,1.45
ES1,29/03/2025,Real Madrid,Leganes,3,2,H,1.36,3.2,1.35,3.1
ES1,30/03/2025,Getafe,Villarreal,1,2,A,2.38,1.57,2.36,1.59
ES1,30/03/2025,Barcelona,Girona,4,1,H,1.33,3.4,1.31,3.34
ES1,30/03/2025,Ath Bilbao,Osasuna,0,0,D,2.01,1.89,1.95,1.86
ES1,30/03/2025,Valencia,Mallorca,1,0,H,2.63,1.5,2.58,1.5
ES1,30/03/2025,Betis,Sevilla,2,1,H,2.04,1.86,2.03,1.81
ES1,31/03/2025,Celta,Las Palmas,1,1,D,1.8,2,1.78,2.04
ES1,04/04/2025,Vallecano,Espanol,0,4,A,2.38,1.57,2.45,1.55
ES1,05/04/2025,Girona,Alaves,0,1,A,2.1,1.73,2.13,1.71
ES1,05/04/2025,Real Madrid,Valencia,1,2,A,1.53,2.5,1.51,2.52
ES1,05/04/2025,Mallorca,Celta,1,2,A,2.3,1.62,2.34,1.59
ES1,05/04/2025,Barcelona,Betis,1,1,D,1.36,3.2,1.35,3.08
ES1,06/04/2025,Las Palmas,Sociedad,1,3,A,2.38,1.57,2.39,1.57
ES1,06/04/2025,Sevilla,Ath Madrid,1,2,A,2.2,1.67,2.24,1.65
ES1,06/04/2025,Valladolid,Getafe,0,4,A,2.75,1.44,2.76,1.43
ES1,06/04/2025,Villarreal,Ath Bilbao,0,0,D,1.91,1.99,1.87,1.95
ES1,07/04/2025,Leganes,Osasuna,1,1,D,2.3,1.62,2.3,1.61
ES1,11/04/2025,Valencia,Sevilla,1,0,H,2.3,1.62,2.31,1.63
ES1,12/04/2025,Sociedad,Mallorca,0,2,A,2.5,1.53,2.55,1.51
ES1,12/04/2025,Getafe,Las Palmas,1,3,A,2.5,1.53,2.45,1.55
ES1,12/04/2025,Celta,Espanol,0,2,A,2.07,1.83,2.01,1.82
ES1,12/04/2025,Leganes,Barcelona,0,1,A,1.44,2.75,1.43,2.74
ES1,13/04/2025,Osasuna,Girona,2,1,H,2.1,1.73,2.1,1.74
ES1,13/04/2025,Alaves,Real Madrid,0,1,A,1.73,2.1,1.71,2.14
ES1,13/04/2025,Betis,Villarreal,1,2,A,1.73,2.1,1.72,2.12
ES1,13/04/2025,Ath Bilbao,Vallecano,3,1,H,2.3,1.62,2.32,1.61
ES1,14/04/2025,Ath Madrid,Valladolid,4,2,H,1.5,2.63,1.46,2.65
ES1,18/04/2025,Espanol,Getafe,1,0,H,3,1.4,2.94,1.39
ES1,19/04/2025,Vallecano,Valencia,1,1,D,2.38,1.57,2.37,1.58
ES1,19/04/2025,Barcelona,Celta,4,3,H,1.36,3.2,1.33,3.21
ES1,19/04/2025,Mallorca,Leganes,0,0,D,2.63,1.5,2.54,1.51
