Date,League,LeagueName,HomeTeam,AwayTeam,FTHG,FTAG,O25,U25,BTTSY,BTTSN
2024-09-07,DK1,Dänemark · Superliga,Brøndby,Aalborg,1,1,2.11,1.7,2.02,1.76
2024-09-08,DK1,Dänemark · Superliga,Brøndby,Odense,2,1,2.09,1.75,1.9,1.85
2024-09-10,DK1,Dänemark · Superliga,Odense,Silkeborg,3,0,1.83,1.96,1.68,2.05
2024-09-11,DK1,Dänemark · Superliga,Kopenhagen,Midtjylland,4,0,1.32,3.01,1.44,3.18
2024-09-14,DK1,Dänemark · Superliga,Silkeborg,Odense,3,2,1.96,1.85,1.75,2.0
2024-09-15,DK1,Dänemark · Superliga,Kopenhagen,Odense,0,0,1.75,2.22,1.66,2.34
2024-09-17,DK1,Dänemark · Superliga,Kopenhagen,Nordsjælland,1,0,1.53,2.47,1.6,2.34
2024-09-19,DK1,Dänemark · Superliga,Nordsjælland,Silkeborg,1,2,1.96,1.89,1.79,1.92
2024-09-21,DK1,Dänemark · Superliga,Brøndby,Silkeborg,2,0,2.05,1.75,1.88,1.88
2024-09-22,DK1,Dänemark · Superliga,Midtjylland,Silkeborg,3,1,1.41,2.68,1.46,2.68
2024-09-23,DK1,Dänemark · Superliga,Brøndby,Aarhus,1,2,2.66,1.52,2.19,1.73
2024-09-26,DK1,Dänemark · Superliga,Aalborg,Brøndby,2,0,1.92,1.81,1.84,1.9
2024-09-29,DK1,Dänemark · Superliga,Aalborg,Aarhus,2,0,2.44,1.51,2.21,1.67
2024-10-01,DK1,Dänemark · Superliga,Midtjylland,Brøndby,3,1,1.73,2.09,1.78,2.11
2024-10-02,DK1,Dänemark · Superliga,Midtjylland,Kopenhagen,3,0,1.59,2.33,1.61,2.34
2024-10-05,DK1,Dänemark · Superliga,Kopenhagen,Aalborg,3,4,1.62,2.13,1.66,2.12
2024-10-06,DK1,Dänemark · Superliga,Aarhus,Midtjylland,4,3,1.47,2.65,1.48,2.58
2024-10-08,DK1,Dänemark · Superliga,Kopenhagen,Aarhus,3,0,1.88,1.86,1.73,2.05
2024-10-09,DK1,Dänemark · Superliga,Nordsjælland,Kopenhagen,5,1,1.48,2.42,1.54,2.7
2024-10-12,DK1,Dänemark · Superliga,Nordsjælland,Aalborg,1,2,1.81,1.94,1.81,2.18
2024-10-13,DK1,Dänemark · Superliga,Nordsjælland,Aarhus,1,0,1.85,1.9,1.7,2.14
2024-10-15,DK1,Dänemark · Superliga,Aalborg,Nordsjælland,2,1,1.6,2.29,1.51,2.53
2024-10-18,DK1,Dänemark · Superliga,Aarhus,Odense,0,0,1.87,1.82,1.74,2.06
2024-10-20,DK1,Dänemark · Superliga,Aalborg,Odense,1,0,2.54,1.55,2.21,1.73
2024-10-23,DK1,Dänemark · Superliga,Aalborg,Silkeborg,0,3,2.45,1.48,2.1,1.68
2024-10-26,DK1,Dänemark · Superliga,Aarhus,Nordsjælland,2,1,1.74,2.02,1.68,2.2
2024-10-27,DK1,Dänemark · Superliga,Nordsjælland,Brøndby,1,0,1.97,1.8,1.86,1.93
2024-10-28,DK1,Dänemark · Superliga,Aalborg,Midtjylland,1,2,2.0,1.8,1.72,2.01
2024-10-30,DK1,Dänemark · Superliga,Odense,Brøndby,3,1,2.08,1.77,1.82,1.9
2024-11-02,DK1,Dänemark · Superliga,Kopenhagen,Silkeborg,1,1,2.0,1.71,1.79,1.93
2024-11-03,DK1,Dänemark · Superliga,Brøndby,Midtjylland,2,0,1.84,1.96,1.68,2.22
2024-11-06,DK1,Dänemark · Superliga,Brøndby,Nordsjælland,2,1,1.54,2.51,1.5,2.75
2024-11-07,DK1,Dänemark · Superliga,Odense,Aarhus,2,0,2.16,1.71,1.85,1.81
2024-11-08,DK1,Dänemark · Superliga,Aarhus,Silkeborg,1,0,2.85,1.43,2.25,1.58
2024-11-11,DK1,Dänemark · Superliga,Brøndby,Kopenhagen,0,0,1.73,2.11,1.73,2.16
2024-08-03,DK2,Dänemark · 1st Division,Kolding,Fredericia,1,2,1.96,1.8,1.9,1.93
2024-08-05,DK2,Dänemark · 1st Division,Fredericia,Esbjerg,2,2,1.91,1.83,1.79,2.01
2024-08-08,DK2,Dänemark · 1st Division,Horsens,Hvidovre,3,2,1.55,2.4,1.6,2.22
2024-08-10,DK2,Dänemark · 1st Division,Esbjerg,Fredericia,1,2,1.6,2.22,1.63,2.2
2024-08-12,DK2,Dänemark · 1st Division,Esbjerg,Kolding,1,1,1.92,1.99,1.72,2.15
2024-08-14,DK2,Dänemark · 1st Division,Hobro,Køge,2,0,2.4,1.56,2.27,1.72
2024-08-15,DK2,Dänemark · 1st Division,Fredericia,Kolding,3,0,1.93,1.79,1.73,2.0
2024-08-16,DK2,Dänemark · 1st Division,Lyngby,Horsens,0,1,2.25,1.61,1.92,1.82
2024-08-18,DK2,Dänemark · 1st Division,Hvidovre,Fredericia,1,1,1.81,2.07,1.69,2.26
2024-08-19,DK2,Dänemark · 1st Division,Horsens,Kolding,0,0,1.83,1.82,1.79,1.9
2024-08-20,DK2,Dänemark · 1st Division,Hobro,Horsens,0,2,1.84,1.89,1.82,1.98
2024-08-21,DK2,Dänemark · 1st Division,Kolding,Lyngby,2,2,2.44,1.63,2.18,1.71
2024-08-24,DK2,Dänemark · 1st Division,Hobro,Lyngby,2,1,2.46,1.49,2.28,1.65
2024-08-25,DK2,Dänemark · 1st Division,Køge,Esbjerg,0,1,2.27,1.63,1.95,1.74
2024-08-26,DK2,Dänemark · 1st Division,Hvidovre,Esbjerg,0,1,1.57,2.38,1.47,2.6
2024-08-28,DK2,Dänemark · 1st Division,Esbjerg,Lyngby,4,2,1.73,2.22,1.69,2.28
2024-08-30,DK2,Dänemark · 1st Division,Hobro,Hvidovre,1,3,1.75,1.98,1.77,2.13
2024-09-01,DK2,Dänemark · 1st Division,Køge,Horsens,1,1,2.66,1.43,2.26,1.61
2024-09-03,DK2,Dänemark · 1st Division,Esbjerg,Hobro,2,0,1.75,2.0,1.69,2.03
2024-09-05,DK2,Dänemark · 1st Division,Kolding,Hobro,1,2,2.87,1.42,2.25,1.56
2024-09-06,DK2,Dänemark · 1st Division,Hobro,Esbjerg,0,0,2.05,1.77,1.81,1.91
2024-09-09,DK2,Dänemark · 1st Division,Køge,Hobro,2,3,2.85,1.36,2.36,1.51
2024-09-12,DK2,Dänemark · 1st Division,Hvidovre,Lyngby,1,3,1.58,2.16,1.67,2.1
2024-09-14,DK2,Dänemark · 1st Division,Hvidovre,Horsens,0,3,1.64,2.1,1.58,2.3
2024-09-16,DK2,Dänemark · 1st Division,Fredericia,Køge,0,0,2.31,1.61,2.15,1.67
2024-09-19,DK2,Dänemark · 1st Division,Hvidovre,Køge,3,1,2.29,1.62,2.01,1.77
2024-09-20,DK2,Dänemark · 1st Division,Lyngby,Hvidovre,1,1,2.24,1.68,1.86,1.85
2024-09-21,DK2,Dänemark · 1st Division,Køge,Lyngby,1,1,2.37,1.59,2.15,1.8
2024-09-23,DK2,Dänemark · 1st Division,Esbjerg,Hvidovre,4,1,1.78,1.9,1.66,2.06
2024-09-26,DK2,Dänemark · 1st Division,Lyngby,Esbjerg,0,3,2.03,1.76,1.85,1.92
2024-09-29,DK2,Dänemark · 1st Division,Kolding,Horsens,1,3,1.88,1.88,1.74,1.96
2024-09-30,DK2,Dänemark · 1st Division,Kolding,Køge,0,1,2.39,1.64,2.1,1.78
2024-10-02,DK2,Dänemark · 1st Division,Hvidovre,Kolding,3,0,1.67,2.08,1.65,2.21
2024-10-04,DK2,Dänemark · 1st Division,Horsens,Fredericia,3,0,1.7,1.97,1.9,1.93
2024-10-07,DK2,Dänemark · 1st Division,Horsens,Lyngby,1,1,1.79,1.91,2.09,1.81
2024-10-10,DK2,Dänemark · 1st Division,Køge,Hvidovre,2,1,1.98,1.88,1.73,2.13
2024-10-11,DK2,Dänemark · 1st Division,Kolding,Esbjerg,0,1,2.39,1.61,2.09,1.85
2024-10-12,DK2,Dänemark · 1st Division,Lyngby,Køge,0,2,2.88,1.38,2.29,1.61
2024-10-15,DK2,Dänemark · 1st Division,Hobro,Fredericia,1,1,2.26,1.61,2.08,1.74
2024-10-16,DK2,Dänemark · 1st Division,Horsens,Køge,1,1,2.3,1.59,2.09,1.74
2024-10-18,DK2,Dänemark · 1st Division,Esbjerg,Køge,0,1,2.27,1.52,2.19,1.63
2024-10-20,DK2,Dänemark · 1st Division,Lyngby,Kolding,0,2,2.34,1.53,2.13,1.8
2024-10-23,DK2,Dänemark · 1st Division,Hobro,Kolding,2,1,2.15,1.71,1.85,1.92
2024-10-26,DK2,Dänemark · 1st Division,Fredericia,Hobro,4,0,2.07,1.75,2.0,1.83
2024-10-27,DK2,Dänemark · 1st Division,Lyngby,Hobro,2,1,2.12,1.74,1.98,1.81
2024-10-29,DK2,Dänemark · 1st Division,Horsens,Hobro,0,3,1.57,2.31,1.65,2.3
2024-10-30,DK2,Dänemark · 1st Division,Fredericia,Lyngby,1,1,1.79,2.02,1.66,2.24
2024-11-02,DK2,Dänemark · 1st Division,Horsens,Esbjerg,2,1,1.66,2.05,1.64,2.09
2024-11-03,DK2,Dänemark · 1st Division,Esbjerg,Horsens,3,2,1.56,2.54,1.45,2.68
2024-11-05,DK2,Dänemark · 1st Division,Hvidovre,Hobro,1,0,2.1,1.65,1.92,1.91
2024-11-07,DK2,Dänemark · 1st Division,Fredericia,Horsens,2,3,1.75,2.05,1.62,2.12
2024-11-09,DK2,Dänemark · 1st Division,Køge,Fredericia,0,1,2.27,1.59,2.02,1.83
2024-11-10,DK2,Dänemark · 1st Division,Fredericia,Hvidovre,2,1,1.49,2.67,1.45,2.75
2024-11-13,DK2,Dänemark · 1st Division,Lyngby,Fredericia,0,2,1.73,2.0,1.72,2.1
2024-11-14,DK2,Dänemark · 1st Division,Køge,Kolding,1,3,3.0,1.44,2.32,1.53
2024-11-15,DK2,Dänemark · 1st Division,Kolding,Hvidovre,2,3,2.21,1.68,1.94,1.78
2024-08-04,BE1,Belgien · Pro League,Gent,Standard,0,1,1.96,1.86,1.76,1.93
2024-08-06,BE1,Belgien · Pro League,Genk,Gent,4,1,2.24,1.63,1.94,1.72
2024-08-09,BE1,Belgien · Pro League,Anderlecht,Gent,4,0,1.54,2.48,1.51,2.43
2024-08-10,BE1,Belgien · Pro League,Antwerpen,Standard,0,1,1.69,2.21,1.76,2.0
2024-08-11,BE1,Belgien · Pro League,Genk,Club Brügge,0,0,2.23,1.71,2.12,1.83
2024-08-12,BE1,Belgien · Pro League,Standard,Antwerpen,2,1,1.54,2.29,1.66,2.22
2024-08-15,BE1,Belgien · Pro League,Charleroi,Gent,1,2,1.75,2.07,1.77,2.19
2024-08-18,BE1,Belgien · Pro League,Genk,Standard,3,0,1.72,2.05,1.74,2.06
2024-08-20,BE1,Belgien · Pro League,Gent,Club Brügge,1,0,1.85,1.96,1.76,2.06
2024-08-21,BE1,Belgien · Pro League,Charleroi,Antwerpen,2,0,1.73,2.2,1.54,2.34
2024-08-23,BE1,Belgien · Pro League,Charleroi,Club Brügge,2,3,1.37,3.06,1.53,2.6
2024-08-25,BE1,Belgien · Pro League,Mechelen,Club Brügge,2,1,1.97,1.77,1.8,1.92
2024-08-28,BE1,Belgien · Pro League,Anderlecht,Club Brügge,0,3,1.84,1.98,1.85,1.93
2024-08-31,BE1,Belgien · Pro League,Standard,Charleroi,2,5,1.72,2.14,1.59,2.3
2024-09-02,BE1,Belgien · Pro League,Club Brügge,Genk,4,2,2.26,1.74,1.94,1.84
2024-09-03,BE1,Belgien · Pro League,Gent,Anderlecht,2,2,1.92,2.02,1.74,2.18
2024-09-05,BE1,Belgien · Pro League,Charleroi,Mechelen,0,2,1.57,2.3,1.62,2.28
2024-09-07,BE1,Belgien · Pro League,Gent,Antwerpen,1,1,2.42,1.51,2.21,1.64
2024-09-08,BE1,Belgien · Pro League,Anderlecht,Mechelen,2,1,1.53,2.43,1.52,2.59
2024-09-10,BE1,Belgien · Pro League,Club Brügge,Anderlecht,0,3,1.53,2.54,1.49,2.58
2024-09-12,BE1,Belgien · Pro League,Genk,Mechelen,0,4,2.11,1.78,1.82,1.99
2024-09-14,BE1,Belgien · Pro League,Standard,Mechelen,2,3,1.86,1.9,1.71,2.04
2024-09-17,BE1,Belgien · Pro League,Club Brügge,Standard,0,1,1.8,2.1,1.64,2.15
2024-09-19,BE1,Belgien · Pro League,Anderlecht,Standard,0,1,1.26,3.4,1.37,2.88
2024-09-20,BE1,Belgien · Pro League,Anderlecht,Antwerpen,1,2,1.58,2.23,1.63,2.35
2024-09-22,BE1,Belgien · Pro League,Mechelen,Gent,4,1,1.95,1.85,1.89,2.0
2024-09-23,BE1,Belgien · Pro League,Antwerpen,Mechelen,0,1,2.13,1.69,1.89,1.82
2024-09-25,BE1,Belgien · Pro League,Charleroi,Genk,2,3,1.79,1.9,1.7,2.12
2024-09-26,BE1,Belgien · Pro League,Genk,Charleroi,0,0,2.07,1.75,1.88,1.98
2024-09-27,BE1,Belgien · Pro League,Antwerpen,Anderlecht,2,1,1.75,2.0,1.7,2.1
2024-09-28,BE1,Belgien · Pro League,Club Brügge,Charleroi,0,1,1.51,2.43,1.47,2.68
2024-09-30,BE1,Belgien · Pro League,Club Brügge,Mechelen,1,3,1.92,1.9,1.76,2.04
2024-10-03,BE1,Belgien · Pro League,Mechelen,Anderlecht,1,5,1.7,2.25,1.59,2.34
2024-10-05,BE1,Belgien · Pro League,Charleroi,Standard,2,1,1.39,3.06,1.5,2.45
2024-10-08,BE1,Belgien · Pro League,Gent,Genk,0,0,2.38,1.67,1.95,1.72
2024-10-11,BE1,Belgien · Pro League,Anderlecht,Genk,2,2,1.53,2.62,1.43,2.58
2024-10-13,BE1,Belgien · Pro League,Gent,Mechelen,2,1,1.99,1.82,1.85,2.0
2024-10-14,BE1,Belgien · Pro League,Antwerpen,Gent,2,2,2.14,1.74,1.94,1.87
2024-10-15,BE1,Belgien · Pro League,Genk,Antwerpen,0,2,2.14,1.7,1.96,1.96
2024-10-17,BE1,Belgien · Pro League,Gent,Charleroi,2,0,1.62,2.27,1.65,2.44
2024-10-20,BE1,Belgien · Pro League,Anderlecht,Charleroi,1,1,1.31,3.64,1.3,3.42
2024-10-21,BE1,Belgien · Pro League,Club Brügge,Antwerpen,0,1,1.79,2.0,1.88,1.89
2024-10-23,BE1,Belgien · Pro League,Standard,Club Brügge,1,3,1.82,1.92,1.73,2.05
2024-10-24,BE1,Belgien · Pro League,Mechelen,Genk,0,2,1.82,1.83,1.77,1.97
2024-10-27,BE1,Belgien · Pro League,Antwerpen,Club Brügge,3,0,1.77,2.13,1.84,2.05
2024-10-29,BE1,Belgien · Pro League,Antwerpen,Genk,0,0,2.03,1.78,1.83,1.83
2024-10-30,BE1,Belgien · Pro League,Standard,Gent,0,2,2.1,1.77,1.92,1.92
2024-11-02,BE1,Belgien · Pro League,Genk,Anderlecht,1,0,1.88,1.91,1.79,2.09
2024-11-03,BE1,Belgien · Pro League,Mechelen,Antwerpen,0,1,1.87,1.92,1.87,1.97
2024-11-04,BE1,Belgien · Pro League,Club Brügge,Gent,0,0,1.99,1.74,1.83,1.86
2024-11-05,BE1,Belgien · Pro League,Antwerpen,Charleroi,1,5,1.79,2.14,1.64,2.22
2024-11-06,BE1,Belgien · Pro League,Charleroi,Anderlecht,3,2,1.33,3.18,1.33,3.11
2024-11-08,BE1,Belgien · Pro League,Standard,Anderlecht,1,4,1.51,2.73,1.48,2.77
2024-11-11,BE1,Belgien · Pro League,Mechelen,Standard,0,1,1.52,2.46,1.58,2.29
2024-11-12,BE1,Belgien · Pro League,Standard,Genk,2,0,1.77,2.07,1.6,2.19
2024-11-15,BE1,Belgien · Pro League,Mechelen,Charleroi,2,2,1.84,2.11,1.71,2.3
2024-08-03,BE2,Belgien · Challenger Pro League,Beerschot,Patro Eisden,1,0,2.07,1.72,1.97,1.91
2024-08-06,BE2,Belgien · Challenger Pro League,Beerschot,Seraing,2,1,2.21,1.64,2.23,1.69
2024-08-07,BE2,Belgien · Challenger Pro League,Deinze,Patro Eisden,2,1,1.78,1.98,1.76,2.06
2024-08-10,BE2,Belgien · Challenger Pro League,Lierse,Beveren,0,1,2.12,1.79,1.92,1.82
2024-08-13,BE2,Belgien · Challenger Pro League,Lommel,Patro Eisden,4,3,1.67,2.05,1.69,2.2
2024-08-16,BE2,Belgien · Challenger Pro League,Beveren,Seraing,3,1,2.27,1.69,1.99,1.79
2024-08-18,BE2,Belgien · Challenger Pro League,RFC Liège,Lommel,1,1,1.64,2.15,1.65,2.27
2024-08-19,BE2,Belgien · Challenger Pro League,Patro Eisden,RFC Liège,4,1,1.98,1.81,1.78,2.03
2024-08-21,BE2,Belgien · Challenger Pro League,Lierse,Patro Eisden,1,0,1.99,1.84,1.95,1.85
2024-08-23,BE2,Belgien · Challenger Pro League,RFC Liège,Deinze,3,1,1.53,2.41,1.55,2.48
2024-08-24,BE2,Belgien · Challenger Pro League,Beveren,Beerschot,1,3,2.49,1.55,2.12,1.79
2024-08-25,BE2,Belgien · Challenger Pro League,Beerschot,Lierse,3,2,1.83,1.87,1.81,2.08
2024-08-28,BE2,Belgien · Challenger Pro League,Deinze,Beerschot,3,1,1.84,2.02,1.65,2.09
2024-08-29,BE2,Belgien · Challenger Pro League,Seraing,Beerschot,1,2,2.33,1.57,2.1,1.7
2024-09-01,BE2,Belgien · Challenger Pro League,Deinze,Seraing,0,2,1.91,1.91,1.75,2.14
2024-09-03,BE2,Belgien · Challenger Pro League,Beerschot,Beveren,1,0,1.99,1.69,1.91,1.94
2024-09-05,BE2,Belgien · Challenger Pro League,RFC Liège,Seraing,3,2,1.78,2.14,1.65,2.17
2024-09-07,BE2,Belgien · Challenger Pro League,Seraing,RFC Liège,3,0,2.09,1.84,1.84,1.98
2024-09-08,BE2,Belgien · Challenger Pro League,Seraing,Patro Eisden,1,0,2.25,1.63,1.99,1.76
2024-09-10,BE2,Belgien · Challenger Pro League,Lierse,Seraing,0,1,1.91,1.91,1.94,1.8
2024-09-13,BE2,Belgien · Challenger Pro League,Lierse,Deinze,1,2,1.49,2.66,1.43,2.78
2024-09-14,BE2,Belgien · Challenger Pro League,RFC Liège,Beveren,1,2,1.98,1.84,1.88,2.06
2024-09-17,BE2,Belgien · Challenger Pro League,Beveren,Lommel,3,1,2.05,1.81,1.83,2.01
2024-09-20,BE2,Belgien · Challenger Pro League,Beveren,Patro Eisden,4,0,2.16,1.75,1.91,1.89
2024-09-21,BE2,Belgien · Challenger Pro League,Beerschot,Deinze,2,1,1.8,1.99,1.83,2.08
2024-09-23,BE2,Belgien · Challenger Pro League,Beveren,RFC Liège,4,2,1.74,1.95,1.74,2.04
2024-09-24,BE2,Belgien · Challenger Pro League,Seraing,Beveren,0,1,2.27,1.65,1.93,1.91
2024-09-27,BE2,Belgien · Challenger Pro League,Lierse,RFC Liège,1,3,1.82,2.06,1.7,2.25
2024-09-30,BE2,Belgien · Challenger Pro League,Deinze,RFC Liège,1,2,1.63,2.32,1.56,2.33
2024-10-01,BE2,Belgien · Challenger Pro League,Lommel,Deinze,3,1,1.91,1.89,1.82,2.04
2024-10-03,BE2,Belgien · Challenger Pro League,Lierse,Beerschot,3,0,2.29,1.59,1.92,1.86
2024-10-06,BE2,Belgien · Challenger Pro League,Beerschot,RFC Liège,2,0,1.76,2.06,1.76,2.15
2024-10-09,BE2,Belgien · Challenger Pro League,Patro Eisden,Beveren,1,1,2.84,1.48,2.32,1.59
2024-10-10,BE2,Belgien · Challenger Pro League,Lommel,Seraing,2,0,1.84,1.85,1.85,1.98
2024-10-12,BE2,Belgien · Challenger Pro League,Seraing,Deinze,1,3,2.1,1.74,1.81,2.03
2024-10-15,BE2,Belgien · Challenger Pro League,Lierse,Lommel,2,0,1.7,2.07,1.65,2.05
2024-10-16,BE2,Belgien · Challenger Pro League,Patro Eisden,Lierse,2,1,1.66,2.27,1.55,2.41
2024-10-19,BE2,Belgien · Challenger Pro League,RFC Liège,Beerschot,0,0,1.95,1.88,1.79,2.1
2024-10-21,BE2,Belgien · Challenger Pro League,Beveren,Deinze,0,1,1.71,2.17,1.66,2.23
2024-10-22,BE2,Belgien · Challenger Pro League,RFC Liège,Patro Eisden,2,1,1.87,2.0,1.75,2.12
2024-10-25,BE2,Belgien · Challenger Pro League,Deinze,Beveren,0,0,1.74,2.06,1.68,2.26
2024-10-28,BE2,Belgien · Challenger Pro League,Lommel,Beerschot,2,0,1.83,1.95,1.63,2.07
2024-10-29,BE2,Belgien · Challenger Pro League,Patro Eisden,Deinze,0,4,2.09,1.8,1.79,1.96
2024-10-31,BE2,Belgien · Challenger Pro League,RFC Liège,Lierse,2,2,1.82,2.06,1.71,2.29
2024-11-01,BE2,Belgien · Challenger Pro League,Patro Eisden,Lommel,1,0,1.62,2.23,1.63,2.23
2024-11-04,BE2,Belgien · Challenger Pro League,Seraing,Lierse,1,0,1.9,1.89,1.84,1.99
2024-11-06,BE2,Belgien · Challenger Pro League,Beveren,Lierse,0,1,1.82,1.91,1.69,2.21
2024-11-08,BE2,Belgien · Challenger Pro League,Lommel,Lierse,1,1,1.69,2.14,1.61,2.37
2024-11-10,BE2,Belgien · Challenger Pro League,Seraing,Lommel,0,2,1.73,2.22,1.56,2.43
2024-11-13,BE2,Belgien · Challenger Pro League,Patro Eisden,Seraing,0,2,2.09,1.71,1.9,1.99
2024-11-14,BE2,Belgien · Challenger Pro League,Lommel,Beveren,1,1,1.87,1.88,1.83,2.04
2024-11-15,BE2,Belgien · Challenger Pro League,Patro Eisden,Beerschot,1,2,1.92,1.95,1.7,2.18
2024-11-16,BE2,Belgien · Challenger Pro League,Beerschot,Lommel,0,1,1.89,1.9,1.78,1.98
2024-11-17,BE2,Belgien · Challenger Pro League,Deinze,Lierse,1,1,1.79,2.07,1.59,2.25
2024-11-20,BE2,Belgien · Challenger Pro League,Lommel,RFC Liège,3,0,2.13,1.72,1.83,1.88
2024-11-22,BE2,Belgien · Challenger Pro League,Deinze,Lommel,1,4,1.72,2.07,1.68,2.34
2024-08-02,SE1,Schweden · Allsvenskan,Elfsborg,Göteborg,2,1,1.45,2.58,1.41,2.86
2024-08-05,SE1,Schweden · Allsvenskan,Hammarby,Göteborg,2,2,1.74,2.04,1.66,2.12
2024-08-06,SE1,Schweden · Allsvenskan,Häcken,Elfsborg,0,0,1.76,2.03,1.65,2.15
2024-08-08,SE1,Schweden · Allsvenskan,Hammarby,Djurgården,2,0,1.45,2.64,1.44,2.58
2024-08-10,SE1,Schweden · Allsvenskan,Häcken,Malmö,1,0,1.81,2.09,1.78,2.04
2024-08-11,SE1,Schweden · Allsvenskan,AIK,Djurgården,1,1,1.78,1.95,1.72,2.17
2024-08-13,SE1,Schweden · Allsvenskan,Hammarby,Häcken,2,0,1.53,2.49,1.49,2.43
2024-08-14,SE1,Schweden · Allsvenskan,Häcken,Djurgården,3,0,1.66,2.35,1.53,2.46
2024-08-15,SE1,Schweden · Allsvenskan,Malmö,Hammarby,3,1,1.66,2.22,1.57,2.25
2024-08-18,SE1,Schweden · Allsvenskan,Elfsborg,Norrköping,0,1,1.73,2.14,1.71,2.28
2024-08-21,SE1,Schweden · Allsvenskan,Malmö,Göteborg,2,0,1.7,2.04,1.67,2.19
2024-08-24,SE1,Schweden · Allsvenskan,Häcken,Norrköping,2,1,1.88,1.96,1.76,2.17
2024-08-27,SE1,Schweden · Allsvenskan,Malmö,Häcken,2,3,2.16,1.69,1.83,1.96
2024-08-28,SE1,Schweden · Allsvenskan,Häcken,AIK,1,2,1.84,1.94,1.74,2.14
2024-08-30,SE1,Schweden · Allsvenskan,Elfsborg,Djurgården,2,1,1.51,2.67,1.42,2.68
2024-08-31,SE1,Schweden · Allsvenskan,Malmö,AIK,1,1,1.8,1.92,1.71,2.16
2024-09-03,SE1,Schweden · Allsvenskan,Norrköping,Häcken,1,2,2.19,1.68,1.94,1.86
2024-09-06,SE1,Schweden · Allsvenskan,Djurgården,Elfsborg,2,2,1.55,2.41,1.53,2.42
2024-09-08,SE1,Schweden · Allsvenskan,AIK,Norrköping,1,3,1.78,2.12,1.68,2.17
2024-09-10,SE1,Schweden · Allsvenskan,Norrköping,Djurgården,4,2,1.66,2.27,1.6,2.34
2024-09-11,SE1,Schweden · Allsvenskan,Göteborg,Malmö,3,3,1.67,2.25,1.64,2.34
2024-09-12,SE1,Schweden · Allsvenskan,Göteborg,AIK,0,1,1.73,2.07,1.65,2.25
2024-09-13,SE1,Schweden · Allsvenskan,AIK,Elfsborg,2,0,1.75,1.98,1.68,2.29
2024-09-14,SE1,Schweden · Allsvenskan,Häcken,Hammarby,1,2,1.6,2.19,1.55,2.41
2024-09-15,SE1,Schweden · Allsvenskan,Malmö,Elfsborg,1,6,1.74,2.02,1.72,2.18
2024-09-18,SE1,Schweden · Allsvenskan,Häcken,Göteborg,1,2,2.02,1.81,1.81,1.88
2024-09-20,SE1,Schweden · Allsvenskan,Djurgården,Hammarby,1,0,1.48,2.51,1.45,2.55
2024-09-23,SE1,Schweden · Allsvenskan,Norrköping,Malmö,3,1,2.15,1.74,1.87,1.84
2024-09-24,SE1,Schweden · Allsvenskan,Malmö,Djurgården,2,1,2.06,1.75,1.89,1.84
2024-09-26,SE1,Schweden · Allsvenskan,Elfsborg,Häcken,0,0,1.53,2.49,1.52,2.49
